rule,ra,rb,rb_max
126,0.0008457991431044345,"[0.00228546 0.00118704 0.00115777 0.00106041 0.00151736 0.00075849
 0.00093702]",0.002285463031825595
127,0.0003629115069885933,"[0.00179904 0.00231506 0.0011873  0.00090752 0.00054078 0.00111357
 0.00113444]",0.0023150587088444953
128,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
129,0.0007994134754692474,"[0.00274437 0.001332   0.00185209 0.00153581 0.00144372 0.0012099
 0.00104973]",0.0027443668133741187
130,0.0,"[0.00047266 0.         0.         0.         0.         0.
 0.        ]",0.0004726554501993757
131,0.0028352287777571403,"[0.00326915 0.00282325 0.00226693 0.00302296 0.00176557 0.00157036
 0.00260031]",0.00326914507536903
132,0.019065467827778685,"[0.01799471 0.01877181 0.01321375 0.01741191 0.01419814 0.02316264
 0.0095119 ]",0.023162640965743435
133,0.014800257398019127,"[0.01061595 0.00734631 0.00899735 0.0092582  0.0127864  0.01023533
 0.01168366]",0.012786401506759627
134,0.023308929891747782,"[0.02343486 0.0209607  0.01958962 0.02526465 0.02107762 0.01743893
 0.01796306]",0.025264650252496128
135,0.0009490805910216201,"[0.00347883 0.00219704 0.00146527 0.00146035 0.00101106 0.0016502
 0.00120803]",0.003478834643410161
136,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
137,0.0009739275746352759,"[0.0020738  0.00203871 0.00176758 0.00177954 0.0009167  0.00082349
 0.00140686]",0.0020738021977892746
138,0.09034171340500678,"[0.11709957 0.11896462 0.19297802 0.11666508 0.15293855 0.17782675
 0.14391172]",0.19297802057591126
139,0.003833386956146717,"[0.01154822 0.00513083 0.01006786 0.00612108 0.00863538 0.00608754
 0.00658942]",0.011548219130210735
140,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
141,0.01015749000366745,"[0.00503953 0.00796819 0.00917208 0.01154701 0.00908514 0.00590937
 0.00678467]",0.011547005383792448
142,0.009806032157129928,"[0.0112783  0.01814341 0.02403809 0.02927961 0.00958064 0.01764977
 0.00862989]",0.029279612360821976
143,0.0003458598670256811,"[0.00146181 0.00053936 0.00066203 0.00077717 0.0004013  0.00035242
 0.00025448]",0.0014618139416492089
144,0.0,"[0.00075196 0.         0.         0.         0.         0.
 0.        ]",0.0007519646226058735
145,0.002993588651747768,"[0.00366333 0.00498072 0.00357602 0.00214772 0.00233517 0.00280709
 0.00363379]",0.00498072140500607
146,0.22360454404829883,"[0.1177475  0.20045627 0.15054957 0.19863392 0.16240982 0.12747292
 0.25685113]",0.2568511263543997
147,0.002868966961917058,"[0.00395874 0.00577508 0.00696684 0.00460534 0.00635546 0.00385866
 0.00209585]",0.006966844951011065
148,0.017878862442063326,"[0.03063896 0.01473509 0.03277558 0.02944516 0.03079758 0.02527561
 0.0164009 ]",0.03277558024379526
149,0.000986843613477011,"[0.0023848  0.0011288  0.00123316 0.00135581 0.00114004 0.00163244
 0.00078356]",0.002384797419102672
150,0.00391384335931702,"[0.01119033 0.0101095  0.00598769 0.00503249 0.01246496 0.00572426
 0.00907525]",0.012464955828623019
151,0.00011361310007183508,"[0.00052345 0.00058259 0.00050417 0.00023566 0.00012884 0.00013143
 0.00013569]",0.0005825900025842392
152,0.15610068081463851,"[0.10856518 0.1289232  0.1574129  0.16552478 0.14658966 0.21267609
 0.2148229 ]",0.21482289805089247
153,0.004436211919022353,"[0.01106364 0.01017502 0.00695857 0.00979032 0.00895974 0.00760525
 0.00368664]",0.011063639717991748
154,0.014844095346859855,"[0.02525412 0.01167068 0.00654783 0.01824468 0.01394934 0.01129801
 0.01086366]",0.025254124509907376
155,0.012797536469279525,"[0.01357971 0.03077559 0.01823892 0.00878999 0.00740731 0.00550861
 0.00823741]",0.030775592395623972
156,0.004862685912714737,"[0.01118104 0.02265687 0.00834831 0.01429659 0.01207223 0.00935179
 0.00761372]",0.022656865878328596
157,0.0006810694205112496,"[0.00187656 0.00121043 0.00107863 0.00084279 0.00117194 0.00083852
 0.00078783]",0.0018765626292738871
158,0.026811938409407127,"[0.01874076 0.03163021 0.0207038  0.0175722  0.01952415 0.01431626
 0.02247959]",0.03163021189878287
159,0.0011022783043848404,"[0.00804446 0.00304782 0.0023768  0.00157856 0.0014023  0.00127503
 0.00106704]",0.008044464526853838
160,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
161,0.008050873264277624,"[0.00716807 0.0130002  0.00904917 0.0081081  0.01345295 0.00991422
 0.00712751]",0.013452952764922607
162,0.0,"[0.00573619 0.         0.         0.         0.         0.
 0.        ]",0.005736190041349413
163,0.0008063242090863465,"[0.04980292 0.04425158 0.01851789 0.00667388 0.002401   0.00156858
 0.        ]",0.049802918748533376
164,0.011055415967851312,"[0.01247219 0.02246691 0.02757385 0.01573592 0.01112697 0.01374369
 0.01671422]",0.02757385465105415
165,0.009533939874144895,"[0.0226889  0.02205816 0.01628308 0.01010059 0.01196319 0.01085049
 0.01440219]",0.022688904427648895
166,0.014465017187069714,"[0.02885508 0.01770931 0.00904682 0.01719892 0.01670517 0.00969585
 0.01157984]",0.028855082411117484
167,0.0,"[0.02169927 0.01322661 0.00292874 0.00014363 0.00060978 0.00055081
 0.        ]",0.021699265878884884
168,0.0,"[2.393775e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00]",2.3937749957251063e-05
169,0.003919300026587975,"[0.10893988 0.05532362 0.03610734 0.04227015 0.01900581 0.03171989
 0.00807124]",0.10893987899987743
170,0.1968523835182734,"[0.15066047 0.13246222 0.10369315 0.1836558  0.14167353 0.23884217
 0.19623683]",0.23884217435867763
171,0.0,[0.0001789 0.        0.        0.        0.        0.        0.       ],0.0001789031838910313
172,0.01666666666666668,"[0.0180827  0.01284832 0.01515321 0.00796819 0.01061595 0.01877181
 0.01511858]",0.018771812708978142
173,0.016094483428348863,"[0.06840919 0.05762604 0.0333304  0.0177776  0.01581355 0.02076938
 0.02200414]",0.06840918623916503
174,0.16058695086245825,"[0.13018036 0.16482529 0.13661792 0.05608839 0.15468967 0.11137841
 0.16417303]",0.16482529340014665
175,0.0,[0.0004523 0.        0.        0.        0.        0.        0.       ],0.000452297486034401
176,0.0,"[0.00267956 0.         0.         0.         0.         0.
 0.        ]",0.0026795569403961906
177,7.559289460150142e-06,"[0.05622311 0.02225326 0.00708037 0.00247423 0.00504316 0.00516726
 0.00026835]",0.05622311394141956
178,0.29713841043986583,"[0.14993189 0.15741679 0.17679594 0.28146889 0.25273549 0.28161181
 0.35650874]",0.3565087370509323
179,0.0,"[0.00225348 0.00117673 0.         0.         0.         0.
 0.        ]",0.0022534809052832676
180,0.013511318770595082,"[0.01717124 0.01251968 0.01517588 0.0120929  0.0138002  0.0071275
 0.01042218]",0.017171242016259407
181,0.0,"[0.02688519 0.00571529 0.0011751  0.00145084 0.         0.00062364
 0.        ]",0.026885192950767536
182,0.1637977759844752,"[0.09064755 0.15214965 0.16798208 0.13168602 0.217855   0.29034289
 0.09379302]",0.290342892923916
183,0.0,[0.0002608 0.        0.        0.        0.        0.        0.       ],0.0002607954863763968
184,0.1428599153072243,"[0.15592303 0.15142879 0.08622721 0.12963069 0.17729279 0.1086618
 0.22368621]",0.22368620645257248
185,0.0,"[0.00010457 0.         0.         0.         0.         0.
 0.        ]",0.0001045701708658579
186,0.0,"[0.00313534 0.00054301 0.         0.         0.         0.
 0.        ]",0.0031353423144166287
187,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
188,0.07207803882565325,"[0.1117608  0.12023959 0.15378687 0.14566367 0.13822144 0.17332065
 0.19637567]",0.19637566890149077
189,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
190,0.0,"[0.00015623 0.         0.         0.         0.         0.
 0.        ]",0.000156225315510455
191,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
192,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
193,0.0005026690665598995,"[0.00381687 0.00101851 0.00083657 0.00100345 0.00065975 0.00104646
 0.00065476]",0.00381687044579719
194,0.13950643734933796,"[0.09148003 0.12122444 0.13511105 0.1371964  0.17105604 0.16145709
 0.1798598 ]",0.1798598028800863
195,0.0034753357722900106,"[0.01295498 0.00941751 0.00953323 0.00618011 0.00762979 0.00644899
 0.00440947]",0.012954981759190264
196,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
197,0.007453559924999347,"[0.00356416 0.00899735 0.00563436 0.01098339 0.00806718 0.00942809
 0.00863731]",0.01098339294730552
198,0.00907465824272309,"[0.01859096 0.01061947 0.01379303 0.0213679  0.0116367  0.00832748
 0.01144305]",0.021367898486147043
199,0.0008485982840066941,"[0.00173715 0.00127072 0.00141031 0.00079967 0.00098527 0.00084954
 0.00102834]",0.0017371546704903504
200,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
201,0.01238568605478191,"[0.01808744 0.01938332 0.01608572 0.01203693 0.01340911 0.01015877
 0.02762789]",0.02762789256564906
202,0.016426846010152825,"[0.00780682 0.01727463 0.00503953 0.01351072 0.01927248 0.01112697
 0.01195229]",0.019272482233188552
203,0.013627702877384996,"[0.01745743 0.01750283 0.00983999 0.00806718 0.00629941 0.01168366
 0.0140859 ]",0.017502834237608733
204,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
205,0.004178554470186847,"[0.01105542 0.01553286 0.00734631 0.02383808 0.02267787 0.01253566
 0.01119807]",0.02383807811577852
206,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
207,0.026517439604430114,"[0.02566574 0.02839629 0.04921608 0.02609506 0.02054805 0.01532712
 0.03357058]",0.04921607686744458
208,0.21568519658381013,"[0.13283233 0.13948117 0.14740815 0.1553959  0.16801532 0.23514694
 0.20578797]",0.23514693644410428
209,0.004496267764437959,"[0.00582668 0.00599036 0.00762079 0.00907972 0.00260809 0.00647912
 0.00296765]",0.0090797164489675
210,0.009392733344588254,"[0.02014498 0.02137158 0.01195691 0.01282558 0.00769288 0.01371417
 0.00989078]",0.02137158412323498
211,0.013091280388954367,"[0.01745961 0.01542799 0.00945974 0.01370917 0.01813833 0.01613082
 0.00843407]",0.01813832839990663
212,0.008361317014814263,"[0.01716253 0.01596372 0.01790384 0.00788059 0.01073644 0.00703457
 0.01062134]",0.017903836690887465
213,0.0003271425105702839,"[0.00080359 0.00082849 0.00023825 0.00048264 0.00033609 0.00027015
 0.00030733]",0.0008284859014424452
214,0.0300053784332182,"[0.01873421 0.01415325 0.01633115 0.01815037 0.02492443 0.03426894
 0.02072975]",0.034268937436341296
215,0.0010317445543335472,"[0.0079114  0.00336365 0.00273876 0.00225803 0.00138002 0.00132209
 0.00099823]",0.007911396240625937
216,0.009839989676081759,"[0.00956419 0.00835711 0.01234427 0.01247219 0.01414214 0.00934353
 0.01972027]",0.019720265943665296
217,0.008544932592822001,"[0.01745743 0.01105542 0.01133893 0.01098339 0.01098339 0.0118857
 0.01161553]",0.017457431218879334
218,0.009428090415820583,"[0.01608509 0.01297127 0.02828427 0.01898203 0.02126925 0.01613436
 0.02023669]",0.028284271247461926
219,0.011547005383792667,"[0.01195229 0.01980059 0.02074027 0.01632993 0.02260777 0.01208436
 0.01126872]",0.022607766610417548
220,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
221,0.013569339855976114,"[0.0136277  0.01126872 0.00786796 0.00983999 0.01628126 0.01419814
 0.00881917]",0.01628125809264646
222,0.012149857925879182,"[0.02615582 0.01704336 0.01069045 0.02130653 0.01076443 0.01910705
 0.01722862]",0.02615582122830393
223,0.026186146828318848,"[0.03194738 0.0417095  0.02794553 0.01485378 0.0267558  0.03978115
 0.04429339]",0.044293394111365555
224,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
225,0.004927758916232432,"[0.05518558 0.05744641 0.04678699 0.02893028 0.01617394 0.00629398
 0.00945794]",0.057446410210140596
226,0.20135286107994438,"[0.09838207 0.13678757 0.1828424  0.19353707 0.16790851 0.23339444
 0.25466355]",0.2546635495757877
